title,location,bedrooms,bathrooms,garage,price,size,listing_type,source,price_per_sqm,total_rooms,size_category,prop_apartment,prop_house,prop_other,property_type
Villa in Muscat for Sale فيلا للبيع في مسقط,"Yiti, Muscat•",4.0,6.0,2.0,292075.0,42.642477,For Sale,dubizzle,6849.3910426451075,10.0,Tiny,False,True,False,house
Villa with 4 Bedrooms for Sale- فيلا بأربع غرف للبيع,"Yiti, Muscat•",4.0,5.0,2.0,292075.0,52.02568,For Sale,dubizzle,5614.054443882329,9.0,Tiny,False,True,False,house
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"Al Sifah, Muscat•",2.0,2.0,2.0,73000.0,11.14836,For Sale,dubizzle,6548.048322802636,4.0,Tiny,True,False,False,apartment
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"Al Sifah, Muscat•",2.0,3.0,2.0,170000.0,13.00642,For Sale,dubizzle,13070.468276435791,5.0,Tiny,False,False,True,other
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","Al Sifah, Muscat•",2.0,2.0,2.0,110000.0,11.519972,For Sale,dubizzle,9548.634319597306,4.0,Tiny,True,False,False,apartment
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","Al Sifah, Muscat•",2.0,3.0,2.0,190000.0,91.97397,For Sale,dubizzle,2065.8018785097565,5.0,Tiny,False,False,True,other
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"Salalah, Dhofar•",2.0,2.0,2.0,165000.0,12.170293,For Sale,dubizzle,13557.602927061822,4.0,Tiny,False,True,False,house
2Bedroom Duplex Villa For Sale – Hawana Salalah,"Salalah, Dhofar•",2.0,2.0,2.0,135000.0,11.519972,For Sale,dubizzle,11718.778483142147,4.0,Tiny,False,True,False,house
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"Al Sifah, Muscat•",4.0,4.0,2.0,292075.0,31.958632,For Sale,dubizzle,9139.158397017743,8.0,Tiny,False,True,False,house
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"Salalah, Dhofar•",2.0,2.0,2.0,160000.0,12.170293,For Sale,dubizzle,13146.766474726615,4.0,Tiny,False,True,False,house
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"Sultan Haitham City, Muscat•",3.0,3.0,2.0,111700.0,18.023182,For Sale,dubizzle,6197.573769160185,6.0,Tiny,False,True,False,house
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"Al Sifah, Muscat•",2.0,2.0,2.0,265000.0,11.984487,For Sale,dubizzle,22111.918515994887,4.0,Tiny,False,True,False,house
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"The Wave (Almouj), Muscat•",3.0,3.0,2.0,240000.0,18.116084999999998,For Sale,dubizzle,13247.89544760913,6.0,Tiny,True,False,False,apartment
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"The Wave (Almouj), Muscat•",5.0,6.0,2.0,292075.0,42.270865,For Sale,dubizzle,6909.605469393636,11.0,Tiny,False,True,False,house
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"Al Amarat, Muscat•",6.0,7.0,2.0,82000.0,31.401214,For Sale,dubizzle,2611.3640064998763,13.0,Tiny,False,False,True,other
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•",2.0,3.0,2.0,49500.0,9.754815,For Sale,dubizzle,5074.417095557425,5.0,Tiny,False,False,True,other
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•",1.0,2.0,2.0,29500.0,5.57418,For Sale,dubizzle,5292.258233498021,3.0,Tiny,False,False,True,other
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"The Wave (Almouj), Muscat•",3.0,3.0,2.0,240000.0,18.116084999999998,For Sale,dubizzle,13247.89544760913,6.0,Tiny,True,False,False,apartment
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"The Wave (Almouj), Muscat•",5.0,6.0,2.0,292075.0,42.270865,For Sale,dubizzle,6909.605469393636,11.0,Tiny,False,True,False,house
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"Al Amarat, Muscat•",6.0,7.0,2.0,82000.0,31.401214,For Sale,dubizzle,2611.3640064998763,13.0,Tiny,False,False,True,other
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•",2.0,3.0,2.0,49500.0,9.754815,For Sale,dubizzle,5074.417095557425,5.0,Tiny,False,False,True,other
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•",1.0,2.0,2.0,29500.0,5.57418,For Sale,dubizzle,5292.258233498021,3.0,Tiny,False,False,True,other
Own Your Shop with Residential Visa in installments over 8 years,"Muscat Hills, Muscat•",3.0,3.0,2.0,39750.0,1.393545,For Sale,dubizzle,28524.374885633402,6.0,Tiny,False,False,True,other
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"Muscat Hills, Muscat•",3.0,3.0,2.0,39750.0,1.393545,For Sale,dubizzle,28524.374885633402,6.0,Tiny,False,False,True,other
فيلا للبيع في الوادي الكبير مع الأثاث,"Al Wadi Al Kabir, Muscat•",7.0,6.0,2.0,165000.0,55.834703,For Sale,dubizzle,2955.1513867638914,13.0,Tiny,False,False,True,other
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"Al Khoud, Muscat•",3.0,3.0,2.0,40000.0,2.415478,For Sale,dubizzle,16559.86930951141,6.0,Tiny,False,False,True,other
فيلا للبيع في موقع مميز في المعبيله,"Al Maabilah, Muscat•",3.0,5.0,2.0,79000.0,55.7418,For Sale,dubizzle,1417.2488150723516,8.0,Tiny,False,False,True,other
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"Azaiba, Muscat•",7.0,6.0,2.0,168000.0,65.0321,For Sale,dubizzle,2583.33961228378,13.0,Tiny,False,True,False,house
