Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
Villa For Sale- 3 Bedroom Villa,"Yiti, Muscat•",3,4,Not specified,"OMR 254,000Negotiable",257.79 SQM,For Sale
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"Yiti, Muscat•",2,3,Not specified,"OMR 127,900Freehold",120 SQM,For Sale
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"Al Khoud, Muscat•",1,2,Not specified,"OMR 59,016Freehold",83 SQM,For Sale
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"Yiti, Muscat•",2,3,Not specified,"OMR 166,570Freehold",121 SQM,For Sale
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"Al Seeb, Muscat•",1,1,Not specified,"OMR 72,223Freehold",102 SQM,For Sale
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"Azaiba, Muscat•",2,3,Not specified,"OMR 58,000Non Freehold",103 SQM,For Sale
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"Sultan Haitham City, Muscat•",3,5,Not specified,"OMR 176,000Freehold",220 SQM,For Sale
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 137,000Freehold",126 SQM,For Sale
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 63,000Freehold",95 SQM,For Sale
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"Sultan Haitham City, Muscat•",Studio,1,Not specified,"OMR 46,627Freehold",75 SQM,For Sale
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"Muscat Hills, Muscat•",2,3,Not specified,"OMR 76,000Freehold",118 SQM,For Sale
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"Yiti, Muscat•",3,3,Not specified,"OMR 260,000Freehold",125 SQM,For Sale
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•",2,3,Not specified,"OMR 70,000Freehold",110 SQM,For Sale
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","Muscat Hills, Muscat•",1,1,Not specified,"OMR 63,800Freehold",100 SQM,For Sale
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,"Muscat Hills, Muscat•",2,2,Not specified,"OMR 70,000Freehold",100 SQM,For Sale
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,"Bosher, Muscat•",2,2,Not specified,"OMR 52,000Non Freehold",112.28 SQM,For Sale
فيلا للبيع في الخوض السادسة,"Al Khoud, Muscat•",6,7,Not specified,"OMR 160,000Non Freehold",300 SQM,For Sale
فيلا راقية للبيع في مرتفعات الأنصب Luxury vila for sale inAnsab hights,"Ansab, Muscat•",7,9,Not specified,"OMR 225,000Non Freehold",704 SQM,For Sale
فلة مزرعة للبيع في منتجع السيفة,"Al Sifah, Muscat•",4,5,Not specified,"OMR 245,000Freehold","1,299 SQM",For Sale
تملك شقتك في مسقط بالاقساط علي 100 شهر بدون فوائد,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 25,000Non Freehold",100 SQM,For Sale
تملك شقتك بقسط شهري 200 ريال ف مسقط,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 25,000Non Freehold",100 SQM,For Sale
3 Bedrooms Villa For Sale with Swimming Pool,"The Wave (Almouj), Muscat•",3,3,Not specified,"OMR 320,000Freehold",269 SQM,For Sale
محل للبيع تجاري في موقع مميز وفرصة استثمارية عالية وفريدة,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 36,655Negotiable",44.7 SQM,For Sale
مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 48,500Negotiable",97.35 SQM,For Sale
محل للبيع تجاري في موقع استراتيجي وعائد استثماري عالي,"Al Ghubrah, Muscat•",Not specified,Not specified,Not specified,"OMR 28,000Negotiable",28.76 SQM,For Sale
Serviced 1 BHK Apartment | 3 Years Payment Plan | La Vie Residences,"Muscat - Other, Muscat•",1,2,Not specified,"OMR 124,031Freehold",105 SQM,For Sale
Fully Serviced and Furnished Studio Apartment for Sale in La Vie,"Muscat Hills, Muscat•",Studio,1,Not specified,"OMR 65,100Freehold",64 SQM,For Sale
1 BR Appartment | Sustainable City Yiti | شقة بغرفة نوم واحدة| ROI: 9%,"Yiti, Muscat•",1,2,Not specified,"OMR 79,000Freehold",79 SQM,For Sale
شقة بغرفتي نوم 2 | الدفع بالتقسيط  في مدينة يتي المستدامة,"Yiti, Muscat•",2,3,Not specified,"OMR 127,931Freehold",118 SQM,For Sale
